Titulo,Ano,Duracao,Classificacao_Indicativa,Classificação_no_IMDb,Qtd_Avaliacoes,Direcao,Atores,Legenda,Prime_Video
Forrest Gump: O Contador de Histórias,1994,2h 22m,14,"8,8","2,2 mi",Direção Robert Zemeckis,"Robert Zemeckis, Tom Hanks, Robin Wright","Os governos dos presidentes Kennedy e Johnson, os eventos do Vietnã e Watergate e outras histórias são mostradas através da perspectiva de um homem do Alabama com baixo quociente intelectual.",https://www.primevideo.com/detail/amzn1.dv.gti.8cac18a7-1751-3b35-5f7c-95b3f1a16ad0
Clube da Luta,1999,2h 19m,18,"8,8","2,2 mi",Direção David Fincher,"David Fincher, Brad Pitt, Edward Norton",Um trabalhador de escritório e um fabricante de sabonetes formam um clube de luta clandestino que evolui para algo muito maior.,https://www.primevideo.com/detail/amzn1.dv.gti.14b02470-fb0f-7d69-c65e-b9ab1c235283
O Senhor dos Anéis: As Duas Torres,2002,2h 59m,12,"8,8","1,7 mi",Direção Peter Jackson,"Peter Jackson, Elijah Wood, Ian McKellen","Enquanto Frodo e Sam estão perto de Mordor com a ajuda de Gollum, a divida comunhão luta contra Saruman e os Isengards.",https://www.primevideo.com/detail/amzn1.dv.gti.a4b62a25-51e9-1095-7aa8-6541579aeeb4
A Origem,2010,2h 28m,14,"8,8","2,5 mi",Direção Christopher Nolan,"Christopher Nolan, Leonardo DiCaprio, Joseph Gordon-Levitt",Um ladrão que rouba segredos corporativos através da tecnologia de entrar no subconsciente recebe a tarefa inversa de plantar uma idéia na mente do diretor de uma grande empresa.,https://www.primevideo.com/detail/amzn1.dv.gti.24b4e520-bf98-2aab-f015-ac9a41853e19
Star Wars: Episódio V - O Império Contra-Ataca,1980,2h 4m,Livre,"8,7","1,3 mi",Direção Irvin Kershner,"Irvin Kershner, Mark Hamill, Harrison Ford","Os rebeldes derrotaram o Império no planeta congelado Hoth. Luke Skywalker começa a treinar como um Jedi com Yoda, enquanto seus amigos são perseguidos por Darth Vader.",Sem link Prime
Matrix,1999,2h 16m,14,"8,7",2 mi,Direção Lana WachowskiLilly Wachowski,"Lana Wachowski, Lilly Wachowski, Keanu Reeves",Um hacker aprende com os misteriosos rebeldes sobre a verdadeira natureza de sua realidade e seu papel na guerra contra seus controladores.,https://www.primevideo.com/detail/amzn1.dv.gti.4cba6ae0-632f-da10-da94-61479391fc29
Os Bons Companheiros,1990,2h 25m,14,"8,7","1,2 mi",Direção Martin Scorsese,"Martin Scorsese, Robert De Niro, Ray Liotta","A historia do Henry Hill e sua vida na máfia, sua relação com sua esposa Karen Hill e seus colegas da máfia Jimmy Conway e Tommy DeVito no sindicato italo-americano do crime.",https://www.primevideo.com/detail/amzn1.dv.gti.22b54975-4ebc-89e2-1119-043fa3406660
Um Estranho no Ninho,1975,2h 13m,16,"8,7",1 mi,Direção Milos Forman,"Milos Forman, Jack Nicholson, Louise Fletcher","Um criminoso alega insanidade para ser enviado a um centro de saúde mental, onde se rebela contra a opressiva enfermeira e mobiliza os pacientes a quem ela atemoriza.",Sem link Prime
Seven: Os Sete Crimes Capitais,1995,2h 7m,14,"8,6","1,7 mi",Direção David Fincher,"David Fincher, Morgan Freeman, Brad Pitt","Dois detetives, um novato e um veterano, perseguem um assassino em série que usa os sete pecados capitais como motivos.",https://www.primevideo.com/detail/amzn1.dv.gti.c0b3e3dd-f017-b978-8eff-7bd125eabfcd
A Felicidade Não se Compra,1946,2h 10m,Livre,"8,6",480 mil,Direção Frank Capra,"Frank Capra, James Stewart, Donna Reed","Um anjo é enviado dos céus para ajudar um homem de negócios desesperado em sua frustração, e mostra a ele como seria a vida se nunca tivesse existido.",Sem link Prime
